"","site.code","session","site.accession","subplot","rep","species","N","occ","density","max.tree","mean.tree","mode.tree","sd.tree","Liqr.tree","Uiqr.tree","mean.occtree","mode.occtree","sd.occtree","Liqr.occtree","Uiqr.occtree","tree.count"
"395","DCLU","1","DCLU001","5","DCLU001-5","BFF",49,13,0.1225,8,1.19512195121951,0,2.05206618064723,0,3,3.76923076923077,3,1.87766904049703,3,3,41
"396","DCLU","1","DCLU001","6","DCLU001-6","BFF",46,7,0.115,8,1.31428571428571,0,2.85710084002718,0,0,6.57142857142857,8,2.43975018237133,5.5,8,35
"397","DCLU","1","DCLU001","7","DCLU001-7","BFF",14,3,0.035,8,0.333333333333333,0,1.37338227081487,0,0,4.66666666666667,3,2.88675134594813,3,5.5,42
"398","DCLU","1","DCLU001","8","DCLU001-8","BFF",208,11,0.52,75.5,5.77777777777778,0,17.5639421398518,0,3,18.9090909090909,3,28.4005441689223,3,15.5,36
"399","DCLU","1","DCLU001","9","DCLU001-9","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"400","DCLU","1","DCLU001","10","DCLU001-10","BFF",3,1,0.0075,3,0.0810810810810811,0,0.493196961916072,0,0,3,3,0,3,3,37
"401","DCLU","2","DCLU002","1","DCLU002-1","BFF",56.5,8,0.14125,35.5,4.03571428571429,3,9.17870504884139,0,3,7.0625,3,11.4904851942814,3,3,14
"402","DCLU","2","DCLU002","2","DCLU002-2","BFF",154,18,0.385,15.5,3.34782608695652,0,4.99207100779425,0,8,8.55555555555556,8,4.33484136655571,8,8,46
"403","DCLU","2","DCLU002","3","DCLU002-3","BFF",62.5,10,0.15625,15.5,2.1551724137931,0,3.81047299340876,0,3,6.25,3,4.09097923621119,3,8,29
"404","DCLU","2","DCLU002","4","DCLU002-4","BFF",130.5,16,0.32625,35.5,4.078125,0,7.18545728335836,0,4.25,8.15625,3,8.43942879188712,3,8,32
"405","DCLU","2","DCLU002","5","DCLU002-5","BFF",185,20,0.4625,35.5,4.51219512195122,0,7.2158573683919,0,8,9.25,3,7.96786308273825,3,15.5,41
"406","DCLU","2","DCLU002","6","DCLU002-6","BFF",71.5,13,0.17875,15.5,2.04285714285714,0,3.52380857748492,0,3,5.5,3,3.81881307912987,3,8,35
"407","DCLU","2","DCLU002","7","DCLU002-7","BFF",40,10,0.1,8,0.952380952380952,0,1.98718308965819,0,0,4,3,2.10818510677892,3,3,42
"408","DCLU","2","DCLU002","8","DCLU002-8","BFF",62,14,0.155,8,1.72222222222222,0,2.61436811388921,0,3,4.42857142857143,3,2.34403615469248,3,6.75,36
"409","DCLU","2","DCLU002","9","DCLU002-9","BFF",132,24,0.33,15.5,3.56756756756757,3,4.05716472251073,0,3,5.5,3,3.83065438841437,3,8,37
"410","DCLU","2","DCLU002","10","DCLU002-10","BFF",6,2,0.015,3,0.162162162162162,0,0.687730305405377,0,0,3,3,0,3,3,37
"411","DCLU","3","DCLU003","1","DCLU003-1","BFF",15.5,1,0.03875,15.5,1.10714285714286,0,4.14254924964258,0,0,15.5,15.5,0,15.5,15.5,14
"412","DCLU","3","DCLU003","2","DCLU003-2","BFF",6,2,0.015,3,0.130434782608696,0,0.618553712827087,0,0,3,3,0,3,3,46
"413","DCLU","3","DCLU003","3","DCLU003-3","BFF",35.5,6,0.08875,15.5,1.22413793103448,0,3.25572629294621,0,0,5.91666666666667,3,5.10310363079829,3,6.75,29
"414","DCLU","3","DCLU003","4","DCLU003-4","BFF",161.5,18,0.40375,35.5,5.046875,0,8.81838198804615,0,8,8.97222222222222,3,10.2232034553211,3,8,32
"415","DCLU","3","DCLU003","5","DCLU003-5","BFF",225,25,0.5625,35.5,5.48780487804878,0,7.39973631698965,0,8,9,3,7.63762615825973,3,15.5,41
"416","DCLU","3","DCLU003","6","DCLU003-6","BFF",67,14,0.1675,8,1.91428571428571,0,2.83228683919828,0,3,4.78571428571429,3,2.48622579049423,3,8,35
"417","DCLU","3","DCLU003","7","DCLU003-7","BFF",47,9,0.1175,8,1.11904761904762,0,2.46143306416901,0,0,5.22222222222222,3,2.63523138347365,3,8,42
"418","DCLU","3","DCLU003","8","DCLU003-8","BFF",20,5,0.05,8,0.555555555555556,0,1.59363814577919,0,0,4,3,2.23606797749979,3,3,36
"419","DCLU","3","DCLU003","9","DCLU003-9","BFF",105,20,0.2625,8,2.83783783783784,0,3.23619730130488,0,3,5.25,3,2.5520889276702,3,8,37
"420","DCLU","3","DCLU003","10","DCLU003-10","BFF",22,4,0.055,8,0.594594594594595,0,1.92150779134309,0,0,5.5,3,2.88675134594813,3,8,37
"421","DCLU","4","DCLU004","1","DCLU004-1","BFF",15.5,1,0.03875,15.5,1.10714285714286,0,4.14254924964258,0,0,15.5,15.5,0,15.5,15.5,14
"422","DCLU","4","DCLU004","2","DCLU004-2","BFF",3,1,0.0075,3,0.0652173913043478,0,0.442325868464691,0,0,3,3,0,3,3,46
"423","DCLU","4","DCLU004","3","DCLU004-3","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,29
"424","DCLU","4","DCLU004","4","DCLU004-4","BFF",167.5,20,0.41875,35.5,5.234375,0,7.10972116757367,0,8,8.375,8,7.40176899197255,3,8,32
"425","DCLU","4","DCLU004","5","DCLU004-5","BFF",182.5,25,0.45625,15.5,4.45121951219512,0,5.15728232459788,0,8,7.3,3,4.76095228569523,3,8,41
"426","DCLU","4","DCLU004","6","DCLU004-6","BFF",48,16,0.12,3,1.37142857142857,0,1.51629801288056,0,3,3,3,0,3,3,35
"427","DCLU","4","DCLU004","7","DCLU004-7","BFF",49.5,9,0.12375,15.5,1.17857142857143,0,2.97924001720898,0,0,5.5,3,4.33012701892219,3,8,42
"428","DCLU","4","DCLU004","8","DCLU004-8","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,36
"429","DCLU","4","DCLU004","9","DCLU004-9","BFF",50,10,0.125,8,1.35135135135135,0,2.5950403145682,0,3,5,3,2.58198889747161,3,8,37
"430","DCLU","4","DCLU004","10","DCLU004-10","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,37
"431","DCLU","5","DCLU005","1","DCLU005-1","BFF",0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"432","DCLU","5","DCLU005","2","DCLU005-2","BFF",204.5,29,0.51125,35.5,4.44565217391304,3,7.7647553162204,0,3,7.05172413793103,3,8.82401838691482,3,8,46
"433","DCLU","5","DCLU005","3","DCLU005-3","BFF",82,14,0.205,15.5,2.82758620689655,0,4.31623981126795,0,3,5.85714285714286,3,4.58437384126595,3,8,29
"434","DCLU","5","DCLU005","4","DCLU005-4","BFF",85,15,0.2125,15.5,2.65625,0,4.16095037996323,0,3,5.66666666666667,3,4.47878597496284,3,8,32
"435","DCLU","5","DCLU005","5","DCLU005-5","BFF",163,26,0.4075,15.5,3.97560975609756,0,4.73279940879628,0,8,6.26923076923077,3,4.56996886035511,3,8,41
"436","DCLU","5","DCLU005","6","DCLU005-6","BFF",99,13,0.2475,35.5,2.82857142857143,0,6.60764136207073,0,3,7.61538461538461,3,9.17685913533294,3,8,35
"437","DCLU","5","DCLU005","7","DCLU005-7","BFF",97.5,15,0.24375,15.5,2.32142857142857,0,4.32635348703426,0,3,6.5,3,5.0709255283711,3,8,42
